
VENEZ
ntry,Top5,l0,f0,l1,f1,l2,f2,l3,f3,l4,f4
0,0,C,0.13333334,O,0.23333333,T,0.16666667,E,0.26666668,E,0.36666667
0,1,A,0.1,A,0.16666667,E,0.1,N,0.13333334,S,0.26666668
0,2,E,0.1,U,0.16666667,I,0.1,S,0.1,A,0.1
0,3,P,0.1,I,0.13333334,N,0.1,T,0.1,R,0.06666667
0,4,B,0.06666667,E,0.1,A,0.06666667,I,0.06666667,T,0.06666667

1,0,F,0.2,E,0.23333333,R,0.2,E,0.3,E,0.53333336
1,1,B,0.1,A,0.2,I,0.1,T,0.13333334,S,0.16666667
1,2,G,0.1,O,0.2,N,0.1,A,0.06666667,I,0.06666667
1,3,M,0.1,I,0.13333334,E,0.06666667,I,0.06666667,R,0.06666667
1,4,T,0.1,U,0.06666667,L,0.06666667,L,0.06666667,A,0.033333335

2,0,B,0.16666667,A,0.26666668,A,0.16666667,E,0.26666668,E,0.46666667
2,1,F,0.13333334,O,0.23333333,T,0.13333334,L,0.13333334,S,0.3
2,2,S,0.13333334,L,0.13333334,I,0.1,I,0.1,A,0.06666667
2,3,V,0.13333334,R,0.1,L,0.1,T,0.1,P,0.06666667
2,4,P,0.1,U,0.1,O,0.1,U,0.06666667,I,0.033333335

3,0,A,0.13333334,O,0.26666668,L,0.2,E,0.23333333,E,0.56666666
3,1,S,0.13333334,E,0.23333333,I,0.13333334,L,0.13333334,S,0.23333333
3,2,F,0.1,A,0.13333334,N,0.13333334,S,0.1,T,0.06666667
3,3,J,0.1,U,0.1,U,0.13333334,T,0.1,A,0.033333335
3,4,M,0.1,R,0.06666667,C,0.1,A,0.06666667,K,0.033333335

4,0,P,0.2,A,0.26666668,R,0.2,E,0.16666667,E,0.33333334
4,1,C,0.13333334,I,0.16666667,N,0.13333334,A,0.1,S,0.16666667
4,2,B,0.1,E,0.13333334,T,0.13333334,D,0.1,T,0.13333334
4,3,T,0.1,O,0.13333334,A,0.06666667,I,0.1,I,0.1
4,4,S,0.06666667,U,0.1,I,0.06666667,U,0.1,N,0.06666667


CARNE
ntry,Top5,l0,f0,l1,f1,l2,f2,l3,f3,l4,f4
0,0,R,0.16666667,O,0.36666667,G,0.13333334,E,0.43333334,E,0.4
0,1,M,0.13333334,A,0.3,U,0.13333334,T,0.16666667,S,0.2
0,2,P,0.13333334,E,0.1,A,0.1,G,0.06666667,R,0.13333334
0,3,T,0.13333334,R,0.06666667,I,0.1,R,0.06666667,I,0.06666667
0,4,S,0.1,U,0.06666667,N,0.1,A,0.033333335,Z,0.06666667

1,0,B,0.13333334,A,0.23333333,R,0.13333334,E,0.2,E,0.5
1,1,P,0.13333334,E,0.2,I,0.1,N,0.13333334,S,0.23333333
1,2,C,0.1,I,0.16666667,L,0.1,I,0.1,T,0.16666667
1,3,S,0.1,O,0.16666667,M,0.1,R,0.1,A,0.06666667
1,4,A,0.06666667,G,0.06666667,U,0.1,A,0.06666667,K,0.033333335

2,0,B,0.13333334,O,0.2,R,0.23333333,E,0.16666667,E,0.46666667
2,1,C,0.13333334,U,0.2,I,0.1,A,0.1,N,0.13333334
2,2,F,0.1,A,0.16666667,N,0.1,I,0.1,S,0.13333334
2,3,S,0.1,E,0.13333334,A,0.06666667,L,0.1,T,0.06666667
2,4,V,0.1,I,0.1,C,0.06666667,H,0.06666667,X,0.06666667

3,0,A,0.16666667,A,0.3,U,0.16666667,E,0.3,E,0.43333334
3,1,B,0.1,O,0.26666668,C,0.13333334,L,0.13333334,S,0.26666668
3,2,C,0.1,I,0.16666667,L,0.13333334,T,0.13333334,A,0.06666667
3,3,F,0.1,R,0.06666667,T,0.1,R,0.1,O,0.06666667
3,4,P,0.1,C,0.033333335,F,0.06666667,H,0.06666667,I,0.033333335

4,0,S,0.2,A,0.3,C,0.13333334,N,0.2,E,0.53333336
4,1,A,0.16666667,O,0.2,I,0.13333334,I,0.13333334,S,0.16666667
4,2,C,0.16666667,R,0.16666667,N,0.13333334,U,0.1,N,0.06666667
4,3,B,0.1,E,0.13333334,R,0.1,A,0.06666667,T,0.06666667
4,4,G,0.06666667,L,0.06666667,U,0.1,D,0.06666667,A,0.033333335


RAMPE
ntry,Top5,l0,f0,l1,f1,l2,f2,l3,f3,l4,f4
0,0,R,0.16666667,O,0.23333333,R,0.13333334,E,0.23333333,E,0.4
0,1,C,0.1,A,0.2,U,0.13333334,I,0.13333334,S,0.26666668
0,2,G,0.1,I,0.16666667,D,0.1,M,0.1,T,0.16666667
0,3,L,0.1,L,0.16666667,E,0.1,U,0.1,A,0.033333335
0,4,P,0.1,E,0.1,I,0.1,C,0.06666667,M,0.033333335

1,0,C,0.2,A,0.23333333,R,0.2,E,0.2,S,0.36666667
1,1,M,0.13333334,O,0.23333333,U,0.16666667,V,0.13333334,E,0.33333334
1,2,D,0.1,E,0.2,E,0.1,I,0.1,A,0.1
1,3,R,0.1,R,0.1,L,0.1,L,0.1,I,0.06666667
1,4,S,0.1,I,0.06666667,O,0.1,M,0.1,D,0.033333335

2,0,A,0.1,O,0.23333333,R,0.16666667,E,0.26666668,E,0.36666667
2,1,P,0.1,A,0.2,I,0.13333334,C,0.2,S,0.2
2,2,R,0.1,U,0.13333334,N,0.13333334,I,0.13333334,R,0.13333334
2,3,S,0.1,E,0.1,T,0.1,N,0.1,T,0.13333334
2,4,B,0.06666667,L,0.06666667,A,0.06666667,L,0.06666667,Z,0.06666667

3,0,R,0.23333333,A,0.2,R,0.16666667,E,0.3,E,0.3
3,1,C,0.13333334,I,0.16666667,E,0.1,I,0.13333334,S,0.23333333
3,2,P,0.13333334,E,0.13333334,T,0.1,R,0.13333334,R,0.16666667
3,3,O,0.1,R,0.13333334,U,0.1,A,0.06666667,A,0.13333334
3,4,M,0.06666667,O,0.1,V,0.1,D,0.06666667,I,0.033333335

4,0,C,0.13333334,A,0.23333333,C,0.13333334,R,0.26666668,E,0.43333334
