mot,nessais,valeurMot
VENEZ,0,4.133333
VENEZ,1,5.0666666
VENEZ,2,4.0
VENEZ,3,4.8333335
VENEZ,4,3.3666666
CARNE,0,6.0
CARNE,1,7.1
CARNE,2,7.0666666
CARNE,3,6.6666665
CARNE,4,8.166667
RAMPE,0,6.1666665
RAMPE,1,6.0
RAMPE,2,5.5333333
RAMPE,3,6.366667
RAMPE,4,5.5
LEGOS,0,5.1
LEGOS,1,5.5333333
LEGOS,2,5.0666666
LEGOS,3,5.733333
LEGOS,4,4.8333335
TASSE,0,6.5666666
TASSE,1,5.733333
TASSE,2,6.4333334
TASSE,3,6.233333
TASSE,4,5.7
FIXER,0,4.866667
FIXER,1,5.0333333
FIXER,2,4.0666666
FIXER,3,4.5666666
FIXER,4,5.0333333
NAZES,0,5.0666666
NAZES,1,6.866667
NAZES,2,5.4666667
NAZES,3,4.5333333
NAZES,4,6.2
TIRES,0,6.3
TIRES,1,6.733333
TIRES,2,5.366667
TIRES,3,6.0333333
TIRES,4,5.733333
SALTO,0,3.9666667
SALTO,1,4.2
SALTO,2,3.5666666
SALTO,3,5.5666666
SALTO,4,4.233333
ELEVE,0,2.5666666
ELEVE,1,3.8
ELEVE,2,3.9666667
ELEVE,3,4.7
ELEVE,4,4.233333
